architecture,head,granularity,split,macro_f1
lstm,regression,pooled,val,0.28986773186375225
lstm,classification,pooled,val,0.437313402056897
gru,regression,pooled,val,0.3945172394926814
gru,classification,pooled,val,0.44539633085709557
tcn,regression,pooled,val,0.15438442149970083
tcn,classification,pooled,val,0.44792748390010767
cnn1d,regression,pooled,val,0.28774946391107203
cnn1d,classification,pooled,val,0.4638591209413347
transformer,regression,pooled,val,0.15436366156224088
transformer,classification,pooled,val,0.4577504622617122
cnn1d,classification,pooled,test,0.4679300142082814
lstm,regression,per_stock,val,0.23754248183926338
lstm,classification,per_stock,val,0.25046451777274703
gru,regression,per_stock,val,0.2190765274328716
gru,classification,per_stock,val,0.2502885477942665
tcn,regression,per_stock,val,0.21603027382077133
tcn,classification,per_stock,val,0.21880557725859928
cnn1d,regression,per_stock,val,0.2192201998517292
cnn1d,classification,per_stock,val,0.2263496042011129
transformer,regression,per_stock,val,0.24083408591327174
transformer,classification,per_stock,val,0.2426407216156358
